430,syr_422,syr_434,syr_611,syr_612
ܘܐܦܠܐܐܠܗ̈ܐ܂ܕܬܗܠܠܬܐܐܝܬܝܗ̇ܓܝܪ,ܘܠܐ,,,
,ܐܠܗ̈ܐܡܨܝܢ܂,,ܐܠܗ̈ܐܡܨܝܢ܂,ܐܠܗ̈ܐܡܨܝܢ܂
,ܫܓܡ̈ܐܗ̄ܝܓܝܪܗܕܐ,,ܟܒܪܫܓܡܐܗ̣̄ܝܕܟܬܘܒܐ܂ܘܟܕܫܡܥܡܠܟܐ,ܟܒܪܫܓܡܐܗ̣̄ܝܕܟܬܘܒܐ܂ܘܟܕܫܡܥܡܠܟܐ
ܐܓܪܬܐ܂_ܘܟܕ,ܐܓܪܬܐ܂ܘܟܕ,,ܡ̈ܠܝ,
ܫܡܥܗܠܝܢܡܠܟܐܡ̣ܢܢܐܕܢܚܫܣܓܝ,ܕܝܢܫܡܥܡܠܟܐܣܢܚܪܝܒ,,,
,ܡܠܝ̈,,,ܡܠܝ̈
,ܢܕܢܚܫ,,ܢܕܢܚܫ,ܢܕܢܚܫ
,ܚܫܐܪܒܐ,,ܣܓܝ,ܣܓܝ
ܘܒܟܐ,ܘܒܟܐ,,,
ܘܢܚܬ,ܘܢܚܬ,,ܘܢܚܬ,ܘܢܚܬ
ܡ̣ܢ,ܡ̣ܢ,,ܘܡܢ,ܡܢ
ܒܝܡܗ,ܟܘܪܣܝܗ,,ܟܘܪܣܝܗ,ܟܘܪܣܝܗ
ܘܝܬܒܥܠ,ܘܝܬܒܥܠ,,ܘܝܬܒܥܠ,ܘܝܬܒܥܠ
ܐܪܥܐ܂ܘܐܡ̣ܪܘܝܠܝ,ܩܛܡܐ,,ܩܛܡܐ,ܩܛܡܐ
,ܘܒܟܐܘܐܡܪܚ̈ܒܠܝܟܐܚܝܩܪܚܟܝܡܐܘܡܗܝܪܐܝܕܥܓܝܪ,,ܘܐܡܪ܂,ܘܐܡܪ܂
,,,ܚܒ̈ܠܝܟ,ܚܒܠܝܟ̈
,ܟܣ̈ܝܬܐ,,,
,ܘܫ̈ܘܠܐ܂ܘܝܠܝ,,ܐܚܝܩܪܚܟܝܡܐܘܝܕܥ,ܐܚܝܩܪܚܟܝܡܐܘܝܕܥ
,,,ܟܣ̈ܝܬܐ,
ܥܠܝܟܐܘ,ܥܠܝܟܐܘ,,,ܟܣܝܬ̈ܐ܇
ܐܚܝܩܪܚܟܝܡܐܡܗܝܪܐ܂ܘܝܕܥܐ̄ܪ̈ܙܐܘܫܪܐܐܘ̈ܚܕܢ܂ܘܝܠܝܥܠܝܟܐܘ̇ܡܠܦܢܐܘܚܕܢܘܡܕܒܪܢܡܠܟܘܬܝ܆ܐܝܟܐܐܚܙܝܟܐܘܛܪܩܐ܂ܐܘܐܝܟܐ,ܡܠܦܢܐܕܐܬܪܝܘܡܕܒܪܡܠܟܘܬܝܐܝܟܢܐܐܫܟܚܝܐܟܘܬܟ܂_ܘܐܝܟܐ,,ܡܢܘܢܣܒܪܢܝܘܢܐܡܪܠܝܕܗܐܐܚܝܩܪ,ܡܢܘܢܣܒܪܢܝܘܢܐܡܪܠܝܕܗܐܐܚܝܩܪ
ܐܒܥܝܟ܂,ܐܒܥܝܟ܂,,ܒܚ̈ܝܐ܂,ܒܚܝ̈ܐ
ܘܝܠܝ,ܘܝܠܝܗܟܝܠ,,,
ܥܠܝܟܐܝܟܢܐ,ܥܠܝܟܐܝܟܢܐ,,,
ܐܡܬܬܟܘܚܒܠܬܪܘܟܒܟܒܡܠܬܐܕܥܠܝܡܐ,ܗ̄ܘܐܕܐܘܒܕܬܟܘܠܝܬܝܬܟܒܡ̈ܠܐܕܛܠܝܐ,,,
ܣܟܠܐ,ܣܟܠܐ,,,
ܘܕܠܐܐܠܗ܂ܡܢ̣ܘܢܬܠܟܘܢܣܒܪܢܝܕܐܚܝܩܪܒܚܝ̈ܐܐܝܬܘܗܝ܂,ܕܠܐܝܕ݂ܥܬܐܠܐܕܝܢܐܘܠܐܪܘܚܦܐܡ̇ܢܕܝܢܝܗ̄ܒܠܟܠܝܘܣܒܪܢܝܕܐܚܝܩܪܗܐܚܝܐܗ̄ܘ܂,,,
ܝܗܒܗ̄ܘܝܬ,ܝܗܒܗ̄ܘܝܬ,,ܝܗܒܗ̄ܘܝܬ,ܝܗܒܗ̄ܘܝܬ
ܠܗܦܠܓܗܕܡܠܟܘܬܝ܂,ܠܗܦܠܓܗܕܡܠܟܘܬܝ܂,,ܠܡܣܒܪܢܐܦܠܓܗ̇ܕܟܠܗ̇ܡܠܟܘܬܝ܂,ܠܡܣܒܪܢܐܦܠܓܗ̇ܕܟܠܗ̇ܡܠܟܘܬܝ܂
ܘܟܕܫܡܥܝܒܘܣܡܝܟܗܠܝܢܡ̣ܢܡܠܟܐܘܚܙܐܟܪܝܘܬܐܕܐܫܬܠܛܬܥܠܘܗܝ܂ܩܡܩܕܡܘܗܝܘܐܘܕܝܒܣܘܪܚܢܐܘܐܡܪܡܪܝܡܠܟܐܐܢܐܕܫܬܦܘܩܕܢܟ܂,ܢܕܬܓܝܪܫܡܥܬܐܢܐܡ̄ܢܐܣܦܘܩܠܛܪܐܝܒܘܣܡܝܟܡܣܟܢܬܗܠܝܢܡܢܡܠܬܡܠܟܐ܂ܘܚܙܝܬܚܫܗܘܒܟܝܗܗܝܕܝܢܩܪܒܬܠܘܬܗܘܣܓܕܬܠܗܘܐܡܪܬܠܗܡܪܝܐܢܐܕܠܩܒܬܦܪܝܣܛܓܡܟ܂,,ܗ̇ܝܕܝܢܫܡܥܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ,ܗܝܕܝܢܫܡܥܠܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ܂
ܘܟܠܥܒܕܐ,ܘܟܠܥܒܕܐ,,ܩܠܡܡܠܠܗܕܡܠܟܐܘܩܪܒܩܕܡܘܗܝܘܣܓܕܠܗܘܐܡܪ܂ܡܪܝܡܠܟܐܠܥܠܡ,ܩܠܡܡܠܠܗܕܡܠܟܐܘܩܪܒܩܕܡܘܗܝܘܣܓܕܠܗܘܐܡܪ܂ܡܪܝܡܠܟܐܠܥܠܡ
ܕܫܪܐܦܘܩܕܢܡܪܗܠܡܘܬܐܡܚܝܒ܂ܘܐܢܕܝܢܬܨܒܐ,ܕܡܕܠܩܒܦܪܝܣܛܓܡܐܕܡܪܗܚܝܒܕܢܙܕܩܦܘܐܢܨܒܝܬ,,ܚܝ܂,ܚܝܝ܂
ܙܩܘܦܝܢܝ,ܙܩܘܦܝܢܝ,,,
ܡܛܠܕܫܪܬܦܘܩܕܢܟ܂ܒܕ,ܕܕܠܩܒܬܦܪܝܣܛܓܡܐܕܡܪܝ܂ܘܐܢܐܕܝܢ,,,
ܝܕܥܬ,ܝܕܥܬ,,,
ܕܛܠܝܡ,ܕܒܥܝܐܕܬܕܪܟܟܬܘܬܐܒܩܛܠܗܘܝܕܥܬ݂ܕܛܠܝܡ,,,
,ܗܐܗܟܝܠ,,ܗܐܗܟܝܠ,ܗܐܗܟܝܠ
ܐܚܝܩܪ,ܐܚܝܩܪ,,ܐܚܝܩܪ,ܐܚܝܩܪ
ܘܗܐܡܛܫܝܘܢܛܝܪ܂ܘܟܕܫܡܥܡܠܟܐܡܐܡܪܝ,ܚܝܗ̄ܘ̣,,ܒܚܝ̈ܐ,ܒܚܝ̈ܐ
,ܘܡܛܫܝ,,ܘܡܛܫܝ,ܘܡܛܫܝ
,ܒܛܡܪܐ܂ܘܟܕܕܝܢܫܡܥܡܠܟܐܡܠܝ̈,,ܬܚܝܬ,ܬܚܝܬ
ܚܕܝܚܕܘܬܐ,ܚܕܝܚܕܘܬܐ,,ܐܪܥܐ,ܐܪܥܐ܁ܘܐܩܝܡܗܩܕܡܡܠܟܐܡܢܒܬܪܕܣܓܕܘܬܪ̈ܝܗܘܢ܂ܗܝܕܝܢܟܕܐܬܒܩܝܒܐܚܝܩܪ
ܪܒܬܐ܆ܘܐܡܪܐܝܘ,ܪܒܬܐܘܐܡܪܐܘ,,ܠܐ,ܠܐ
ܥܒܕܐܛܒܐ܂ܐܢܗܘ,ܥܒܕܐܛܒܐ܂ܐܢܗܘ,,ܬܒܟܐ܂,ܬܒܟܐ܇
ܕܒܫܪܪܐܐܝܬܝܗ̇ܡܠܬܟܐܢܐܡܥܬܪܐ̄ܢܐܠܟ܂ܘܐܢܕܝܢܐܚܙܐܐܚܝܩܪܒܚܝ̈ܐܡܐܐܟܟܪ̈ܐܕܕܗܒܐܘܦܠܓܗ,ܕܡܠܬܟܫܪܝܪܬܐܗ̄ܝ̇ܒܥܐܕܐܥ̱ܬܪܟܐܢܕܝܢܬܚܘܝܗܝܠܝܐܚܝܩܪܟܕܐܬܠܠܟܦܠܓܐ,,ܦܩܘܕܕܢܐܬܐܩܕܡܝܟ܂ܟܕܕܝܢܫܡܥܡܠܟܐܒܥܓܠܩܡܡܢܩܛܡܐܘܣܠܩܥܠܟܘܪܣܝܐ܂ܘܦܩܕܠܡܝܬܝܘܬܗ,ܦܩܘܕܕܢܐܬܐܩܕܡܝܟ܂ܟܕܕܝܢܫܡܥܡܠܟܐܒܥܓܠܩܡܡܢܩܛܡܐܘܣܠܩܥܠܟܘܪܣܝܐ܂ܘܦܩܕܠܡܝܬܝܘܬܗ
ܕܡܠܟܘܬܝ,ܕܡܠܟܘܬܝ,,,ܘܦܩܕܠܡܝܬܝܘܬܗ
ܐܬܠܠܟ܂ܗܝܕܝܢܝܒܘܣܡܝܟܐܡܪܠܐܬܬܟܪܣܘܪܚܢܝ܂ܗܝܕܝܢܝܡܐܡܠܟܐܕܠܐܢܚܫܘܒܠܗܚܛܝܬܐ܂ܘܒܗܝܫܥܬܐ,ܘܡܐܬܟܟܪ̈ܝܢܕܗܒܐ܂ܗܝܕܝܢܐܡܪܝܒܘܣܡܝܟܐܣܦܘܩܠܛܪܐܠܡܠܟܐܫܒܘܩܚܘܒܝ̈ܘܠܐܬܬܕܟܪܠܝܣܟ̈ܠܘܬܝ܂ܘܝܡܐܠܗܓܝܪܕܠܐܢܟܝܘܗܝ܂ܘܒܗ̇ܒܥܕܢܐ,,ܠܐܚܝܩܪܡ̣ܢܟܕܕܐܝܬܘܗܝ܂ܘܐܙܠ,ܠܐܚܝܩܪܡ̣ܢܟܕܕܐܝܬܘܗܝ܂ܘܐܙܠ
ܪܟܒܝܒܘܣܡܝܟ,ܪܟܒܝܒܘܣܡܝܟ,,ܝܒܘܣܡܝ܏ܟܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ,ܠܝܒܘ܏ܣ܆ܠܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ܆
ܘܐܬܐ,ܐܬܐ,,ܘܐܦܩܗܡܢܬܚܝܬܐܪܥܐ܂,ܘܐܦܩܗܡܢܬܚܝܬܐܪܥܐ܂
ܠܘܬܝܘܦܬܚ,ܠܘܬܝܘܦܬܚ,,ܘܐܩܝܡܗܩܕܡܡܠܟܐܡܢܒܬܪܕܣܓܕܘܬܪ̈ܝܗܘܢ܂ܗܝܕܝܢܟܕܐܬܒܩܝܒܐܚܝܩܪܡܠܟܐܣܪܚܕܘܡ܂,ܘܐܩܝܡܗ
ܬܪܥܐܘܐܦܩܢܝ܂ܘܐܢܐܬܘܟܠܢܝ,ܚܦܪܐܘܐܦܩܢܝܡܢܗܕܝܢܐܚܝܩܪ,,,
ܒܐܠܗܐ,ܒܐܠܗܐ,,,
ܡܚܙܩܗ̄ܘ̣ܐ܂ܘܐܝܬܝܢܝܠܘܬܡܠܟܐ܂ܘܟܕܐܬܛܝܒܬܩܕܡܘܗܝܣܓܕܬܠܗܥܠܐܪܥܐ܂,ܐܬܬܟܠܬܥܠܘܗܝܠܐܒܗܬܬ݁܂ܘܬܘܒܐܘܒܠܢܝܝܒܘܣܡܝܟܘܐܙܠܬܠܝܠܘܬܡܠܟܐܘܟܕܓܝܪܐܬ݁ܛܝܒܬ,,,
,ܩܕܡܡܠܟܐ,,,ܩܕܡܡܠܟܐ
,ܓܗܢܬܘܒܪܟܬ݂ܥܠܐܪܥܐܩܕܡܘܗܝ,,,ܡܢܒܬܪܕܣܓܕܬܪ̈ܝܗܘܢ܂ܗܝܕܝܢܟܕܐܬܒܩܝܒܐܚܝܩܪܡܠܟܐܣܪܚ܏ܕ܆ܣܪܚܕܘܡ܆
ܘܣܥܪܐܕܪܫܝ,ܘܣܥܪܐܕܪܫܝ,,ܘܚܙܐ,ܘܚܙܐ
ܐܪܝܟܗ̄ܘܐ,ܝܪܟܗ̄ܘ̣ܐ,,ܕܐܫܬܚܠܦܘ,ܕܐܫܬܚܠܦ
ܘܢܚܬܥܠ,ܘܢܚܬܥܠ,,ܨܘܪ̈ܬܗܘܐܬܒܠܒܠ,ܨܘܪ̈ܬܗܘܐܬܒܠܒܠ
ܚܨܝ܂ܘܕܩܢܝ,ܟܬ̈ܦܬܝ܂ܘܕܩܢܐܕܝܠܝ,,ܟܠܗ,ܟܠ̱ܗ
ܢܚܬ,ܢܚܬ,,ܓܘܫܡܗ܂ܗܝܕܝܢܟܕ,ܓܘܫܡܗ܂ܗܝܕܝܢܟܕ
ܗ̄ܘܐ,,,ܒܗ̇ܟܢ,ܒܗܟܢ
ܥܠ,ܥܠ,,ܓܘܢܐܚܙܝܗܝܡܠܟܐܚܢܓܬܠܗܘܒܟܐܘܐܡܪ܂ܐܘܐܚܝܩܪ,ܓܘܢܐܚܙܝܗܝܡܠܟܐܚܢܓܬܠܗܘܒܟܐܘܐܡܪ܂ܐܘܐܚܝܩܪ
ܚܕܝ܂,ܚܕܝ,,,
ܘܛܦܪ̈ܝ,ܘܛܦܪ̈ܝ,,,
ܗܘ̤ܝ,ܦܫܘ,,,
ܐܝܟ,ܐܝܟ,,,
ܕܢܫܪ̈ܐ܂,ܛܦܪ̈ܐܕܢܫܪ̈ܐ,,,
ܘܓܘܫܡܝ,ܘܓܘܫܡܝ,,,
,ܕܝܢ,,,
ܐܬܚܒܠ,ܐܬܚܒܠ,,,
ܗ̄ܘܐ܂ܘܫܝܘܬܐܕܦܪܨܘܦܝܕܡܝܐܗ̄ܘܬܠܩܛܡܐ܂ܘܟܕܚܙܢܝ,ܘܐܬܒܠܒܠܘܦܪܨܘܦܝܙܝܟܓܘܢܩܛܡܐܐܒܕܓܝܪܘܐܬܒܩܝܒܝ,,,
ܡܠܟܐ,ܡܠܟܐ,,,
,ܢܓܝܪܐܝܬܘܚܙܢܝ,,,
ܘܚܪ,ܘܚܪ,,,
ܐܪܝܟܐܝܬܕܐܝܟܢܐܗ̄ܘܝܬ܂ܚܫܣܓܝܘܐܬܟܚܕܡܢܝ܂ܘܠܐܐܬܡܨܝܕܢܡܠܠ,ܒܝܕܐܬܒܠܒܠܬܘܐܟܪܝܥܠܝܘܒܗܬܡܢܝܘܠܐܐܬܬܡܨܝܠܡܡܠܠܘ,,,
ܥܡܝ,ܥܡܝ,,,
ܡܠܬܐܡܕܡ,,,,
ܡ̣ܢܒܟܝܐ܂,ܡ̣ܢܒܟܝܐ܂,,,
ܘܐܡܪ,ܐܡܪ,,,
ܠܝܐܘܐܚܝܩܪ,ܠܝܐܘܐܚܝܩܪ,,,
ܐܢܐ,ܐܢܐ,,ܐܢܐ,ܐܢܐ
,ܓܝܪ,,ܠܝܬܠܝܥܕܠܝܐܘܐܦܠܐ,ܠܝܬܠܝܥܕܠܝܐܘܐܦܠܐ
ܠܐܚܛܝܬ,ܠܐܚܛܝܬ,,ܚܛܗܐ܁,ܚܛܗܐ܇
ܠܟ܂ܒܪܡܒܪܚܬܟܚܛܐܠܟ܂ܐܡܪܬ,ܠܟ,,,
,ܐܠܐܢܕܢܒܪܟ,,ܐܠܐܢܕܢܒܪܟ,ܐܠܐܢܕܢܒܪܟ
ܬܚܐ,,,,
,ܘܗܘ̤ܝܘܐܒܐܫܠܟ܂ܗܝܕܝܢܐܡܪܬ,,ܗܘܝܘܕܐܒܐܫܠܟ,ܗܘܝܘܕܐܒܐܫܠܟ
ܡܪܝ,ܡܪܝ,,ܒܢܟܠܐ܂,ܒܢܟܠܐ
,ܬܚܐ,,,
ܡܠܟܐ,,,ܘܥܢܐܐܚܝܩܪܘܐܡܪܡܪܝܡܠܟܐܒܚܙܬܟܗܫܐܟܠܡܕܡܕܥܒܪܢܫܒܩܝܘܗܝܥܠܕܐܫܘܝܢܐܠܗܐܚܙܬܐܕܦܪܨܘܦܟܪܓܝܓܐ܂,ܘܥܢܐܐܚܝܩܪܘܐܡܪܡܪܝܡܠܟܐܒܚܙܬܟܗܫܐܟܠܡܕܡܕܥܒܪܢܫܒܩܝܘܗܝܥܠܕܐܫܘܝܢܐܠܗܐܚܙܬܐܕܦܪܨܘܦܟܪܓܝܓܐ܂
ܠܥܠܡ,ܠܥܠܡ,,,
ܒܬܪܕܚܙܝܬ,ܕܚܘܝܢܝܐܠܗܐ,,,
ܦܪܨܘܦܟ,ܦܪܨܘܦܟ,,,
ܠܐܬܘܒܦܫܥܩܬܐܡܕܡ܂,ܡܕܡܠܐܚܣܪܠܝܘܡܥܘܟܠܝܕܐܓܝܒ܂ܘܦܢܝܡܠܟܐܓܝܪ,,,
ܦܢܝ,,,ܦܢܝ,ܦܢܝ
ܡܠܟܐܘܐܡܪ,ܡܠܟܐܘܐܡܪ,,ܡܠܟܐܘܐܡܪ,ܡܠܟܐܘܐܡܪ
ܢܗܘܐ,ܢܬ݂ܒܪܟܡܪܝܐܘܝܕܥܕܛܠܝܡܐܢ̄ܬ݁܂,,ܢܗܘܐ,ܢܗܘܐ
ܫܡܐܕܐܠܗ̈ܐܡܒܪܟ̣ܐܕܝܕܥܘܕܛܠܝܡܐܢ̄ܬܘܢܛܪܘܟ܂ܙܠܡ̣ܢܗܫܐܠܒܠܢܐ,,,ܒܪܝܟܘܡܒܪܟܐܠܗܐܕܐܚܝܩܪܕܦܨܝܗܡ̣ܢܗܢܐܛܠܘܡܝܐ܂,ܒܪܝܟܘܡܒܪܟܐܠܗܐܕܐܚܝܩܪܕܦܨܝܗܡ̣ܢܗܢܐܛܠܘܡܝܐ܂
,ܙܠܐܘܐܚܝܩܪ,,ܙܠܐܘܐܚܝܩܪ,ܙܠܐܘܐܚܝܩܪ
,ܠܒܢ̈ܐ,,ܠܒܢܐ,ܠܒܢܐ
ܘܓܪܘܥ,ܘܓܪܘܥ,,ܘܓܪܘܥ,ܘܓܪܘܥ
ܣܥܪܟܘܓܘܙܕܩܢܟܘܛܦܪ̈ܝܟ,ܪܫܟܘܣܦܪܛܦܪ̈ܝܟ,,ܘܐܫܝܓܘܗܦܘܟܠܒܝܬܟܐܟܘܠ,ܘܐܫܝܓܘܗܦܘܟܠܒܝܬܟܐܟܘܠ
ܘܐܟܘܠ,ܘܐܟܘܠ,,,
ܘܐܫܬܝ,ܘܐܫܬܝ,,ܘܐܫܬܝ,
ܥܕܠܐܪܒܥܝܢܝܘܡܝ̈ܢ܂ܐܝܟܢܐܕܢܗܦܘܟܚܝܠܟܥܠܝܟ܂,ܡܬܚܐܕܐܪܒ݁ܥܝܢܝܘܡ̈ܝܢܥܕܡܐܕܬܬܚܝܠܘܟܢ,,ܐܪܒܥܝܢܝܘܡ̈ܝܢ܂ܥܕܡܐܕܬܬܚܝܠ܂ܘܗܝܕܝܢ,ܐܪܒܥܝܢܝܘܡ̈ܝܢ܂ܥܕܡܐܕܬܬܚܝܠ܂ܘܗܝܕܝܢ
,ܬܐܠܘܬܝ܂,,ܬܐܠܘܬܝ܂,ܬܐܠܘܬܝ܂
,ܐܢܐܐܚܝܩܪܐܙܠܬ,,ܘܗܦܟܐܚܝܩܪܘܥܒܕܐܝܟܡܠܬܗܕܡܠܟܐ܂ܡܢ,ܘܗܦܟܐܚܝܩܪܘܥܒܕܐܝܟܡܠܬܗܕܡܠܟܐ܂ܡܢ
ܒܬܪ,,,ܒܬܪ,ܒܬܪ
ܗܝܕܝܢܬܐܬܐܠܘܬܝ܂ܗܝܕܝܢܐܙܠ̄ܬ,,,,
ܠܒܝܬܝܘܥܒܕܬܐܝܟ,ܠܒܝܬܝܘܥܒܕܬܐܝܟ,,,
ܕܐܡ̣ܪ,ܡܠܬ,,,
ܡܠܟܐ,ܡܠܟܐ,,,
ܘܟܬܪܬ,ܘܦܫܬܘܩܘܝܬ,,,
ܥܣܪܝܢ,ܥܣܪܝܢ,,,
ܝܘܡ̈ܬܐ,ܝܘܡ̈ܝܢ,,ܝܘܡ̈ܬܐ,ܝܘܡ̈ܬܐ
ܘܐܬܝܬܠܘܬܗܡܛܠ,ܘܐܬܝܬܠܘܬܗܡܛܠ,,ܥܣ̇ܪܝܢܗܦܟܐܚܝܩܪܬܘܒܠܘܬ,ܥܣ̇ܪܝܢܗܦܟܐܚܝܩܪܬܘܒܠܘܬ
ܕܫܘܓܠܐ,ܒܗܝ̇ܣܘܥܕܢܗ,,ܡܠܟܐ܁ܣܪܚܕܘܡ,ܡܠܟܐ܂ܣܪܚ܏ܕ܆ܣܪܚܕܘܡ܆
ܕܡܠܟܐܡܣܪܗܒܗ̄ܘܐ܂ܘܟܕ,ܕܡܠܟܐܡܣܪܗܒܗ̄ܘܐ܂ܘܟܕ,,ܘܣܓܕܠܗܥܠܐܦܘ̈ܗܝ܂ܗܝܕܝܢܡܠܟܐ,ܘܣܓܕܠܗܥܠܐܦܘ̈ܗܝ܂ܗܝܕܝܢܡܠܟܐ
ܐܬܛܝܒܬܩܕܡܘܗܝ,ܐܬ݁ܬܛܝܒܬܩܕܡܡܠܟܐܣܢܚܪܝܒܘܗܝܕܝܢ,,,
ܐܦܩ,ܐܦܩ,,ܐܦܩ,ܐܦܩ
ܐܓܪܬܐܕܫܕܪܘܗܡܨܪ̈ܝܐ܂,ܫܘܐܠܐܕܫܕܪܘܗܝܠܗܡܨܪ̈ܝܐ,,ܠܗ,ܠܗ
ܘܐܡܪܣܒ,ܘܐܡܪܣܒ,,,
,ܐܚܝܩܪ,,,
ܘܚܙܝ,ܘܚܙܝ,,,
ܐܘܐܚܝܩܪ,ܘܐܬܒܩܐ,,,
ܡܢܐܫܕܪܘܠܢ,ܡܢܐܫܕܪܘܠܢ,,,
ܡܨܪ̈ܝܐܒܬܪܩܛܠܟ܂ܘܟܠܐ̄ܢܫܝ̈,ܡܨܪ̈ܝܐ܂ܒܬܪܩܛܠܟܙܟܐܘܢܝ܂ܘܟܠܒܢܝ̈,,,
ܐܬܪ̈ܘܬܢ,ܐܬܪ̈ܘܬܢ,,,
ܥܪܩܘ,ܐܙܠܘܘܥܪܩܘ,,,
ܠܡܨܪܝܢܡ̣ܢ,ܠܡܨܪܝܢܡ̣ܢ,,,
ܝܘܩܪܐܕܟܣܦܐܕܒܥܝܢ܂ܘܟܕܩܪܝܬܐܓܪܬܐܘܚܟܡܬܠܕܒܗ܂ܐܡܪܬܠܡܠܟܐܠܐܬܟܪܐܠܟܥܠܗܕܐܡܪܝܡܠܟܐ܂,ܫܡܥܐܕܩܢܝܢܐܕܒܥܝܢܡܢܢ܂ܘܟܕܩܪܐܐܚܝܩܪ,,,
,ܐܓܪܬܐ,,ܐܓܪܬܐ,ܐܓܪܬܐ
,ܐܣܬܟܠܡܕܡ,,ܕܡܠܟܐܕܡܨܪܝܢܘܚܘܝܗ̇ܘܢܣܒܗ̇ܐܚܝܩܪܡܢܐܝ̈ܕܝܡܠܟܐܠܐܓܪܬܐܗܝܘܩܪܗ̇܂ܘܐܣܬܟܠܟܠܡܐ,ܕܡܠܟܐܕܡܨܪܝܢܘܚܘܝܗ̇ܘܢܣܒܗ̇ܐܚܝܩܪܡܢܐܝ̈ܕܝܡܠܟܐܠܐܓܪܬܐܗܝܘܩܪܗ̇܂ܘܐܣܬܟܠܟܠܡܐ
,ܕܒܗ̇܂,,ܕܒܗ̇܂,ܕܒܗ̇܂
,ܐܡܪܠܡܠܟ̇ܐ,,ܘܐܡܪܠܡܠܟܐ܂,ܘܐܡܪܠܡܠܟܐ܂
,ܠܐܬܚܫܡܪܝܘܠܐ,,ܠܐܬܚܫܡܪܝܘܠܐ,ܠܐܬܚܫܡܪܝܘܠܐ
,ܬܪܓܙܐܢܐܐܙ̇ܠܐ̄ܢܐܠܡܨܪܝܢ,,ܬܪܓܙ܂,ܬܪܓܙ܂
ܐܢܐܐܙܠ,,,ܐܢܐܐܙܠ,ܐܢܐܐܙܠ
ܘܐܬܠ,ܘܐܬܠ,,ܐ̄ܢܐܠܝܠܡܨܪܝܢ܂ܘܝܗܒܐ̄ܢܐ,ܐ̄ܢܐܠܝܠܡܨܪܝܢ܂ܘܝܗܒܐ̄ܢܐ
ܦܬܓܡܐܠܦܪܥܘܢ܂ܘܐܫܪܐܫܘܐܠܘ̈ܗܝܘܐܝܬܐ,ܦܘܢܝܐ,,ܦܘܢܝܐ,ܦܘܢܝܐ
,ܠܦܪܥܘܢܘܐܦܫܩܠܗܗܢܐܫܘܐܠܐܘܐܝܬ݁ܐ,,ܠܦܪܥܘܢ܂ܘܟܠܗܘܢܫܘܐܠܘܗ̈ܝܡܦܫܩܐ̄ܢܐܠܗܘܢ܂ܘܡܝܬܐܐ̄ܢܐܫܩܠܐܕܡܨܪܝܢܕܬܠܬ,ܠܦܪܥܘܢ܂ܘܟܠܗܘܢܫܘܐܠܘܗ̈ܝܡܦܫܩܐ̄ܢܐܠܗܘܢ܂ܘܡܝܬܐܐ̄ܢܐܫܩܠܐܕܡܨܪܝܢܕܬܠܬ
ܫܩ̈ܠܐ,ܫܩ̈ܠܐ,,ܫܢܝ̈ܢ܂ܘܐܒ̣ܗܬ,ܫܢܝܢ܂
ܕܡܨܪܝܢ,ܘܩܢ̈ܝܢܐܡ̣ܢܡܨܪܝܢ,,,
ܘܐܗܦܟ,ܘܐܗܦܟ,,,
ܟܠܕܥܪܝܩܝܢܠܬܡܢ,ܟܠܗܘܢܐܝܠܝܢܕܥܪܩܘ,,,
ܘܐܒܗܬ,ܘܐܒܗܬ,,,ܘܐܒܗܬ
ܠܣܢܐܝ̈ܟ,ܟܠܗܘܢ,,ܠܟܠܗܘܢ,ܠܟܠܗܘܢ
,ܒܥܠܕܒܒܝ̈ܟ,,ܒܥܠܕܒܒܝ̈ܟ,ܒܥܠܕܒܒܝ̈ܟ
ܒܥܘܕܪܢ,ܒܥܘܕܪܢ,,ܒܥܘܕܪܢ,ܒܥܘܕܪܢ
ܐܠܗ̈ܐܘܕܡܠܟܘܬܟ܂ܘܟܕܫܡܥܗܠܝܢܡܠܟܐܚܕܝܛܒ܂ܘܝܗ̄ܒܡܘ̈ܗܒܬܐܠܐܢ̄ܬܬܝ܂ܘܠܐܣܦܘܩܠܛܪܐܐܪܝܡܗܥܠܫܕܬܐܕܪܒܐ,ܐܠܗܐ܂ܘܟܕܫܡܥܡܠܟܐܡܠܬܝܐܢܐܐܚܝܩܪܚܕܝܚܕܘܬܐܪܒܬܐܝܗ̄ܒ,,ܐܠܗܐܐܘܡܪܝܡܠܟܐ܁ܟܕܫܡܥܡܠܟܐܡ̈ܠܝ,ܐܘܡܪܝܡܠܟܐ܂ܟܕܫܡܥܡܠܝ̈ܡܠܟܐ
,,,ܐܚܝܩܪܪܘܙܘܡܠܐܠܒܗܚܕܘܬܐ,ܐܚܝܩܪܪܘܙܘܡܠܐܠܒܗܚܕܘܬܐ
,,,ܘܦܨܝܚܘܬܐ܂ܗ̇ܝܕܝܢ,ܘܦܨܝ܏ܚ܆ܘܦܨܝܚܘܬܐ܆ܗܝܕܝܢ
,,,ܫܟܢܠܐܚܝܩܪܘܠܐܢ̄ܬܬܗ,ܫܟܢܠܐܚܝܩܪܘܠܐܢ̄ܬܬܗ
